Notes,FilenameRoot,Identifier,MediaType,Format,Title,Alternate Title,Creator,Creator Role,Contributor,Contributor Role,Provider/Publisher,Description/Summary,Date Attribute,Date or Date range,Extent,Geographic coverage,Subject,Subject URIs,Temporal Coverage,Language,Archival Collection,AccessionNumber,Series,Subseries,Box,Folder,Item,Rights Holder,Rights,CorpSubject,CorpSubject URI,PersonalSubject,PersonalSubject URI,Shipment Box,Returned in Box,Reshelved,Filename from vendor,Filename adjustment,Changed on Drive,InspectionNotes,RequestedActions,DateAndInitials,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062541,aflcio_rg9_003_Box54_Folder16,Text,,"NAIRO, 1962",,,,,,,"National Association of Intergroup Relations Officials 1962 Conference (planning materials, program materials, Morgan State ""Politics is our Business"" film, Dick Gregory,Alpha Phi Alpha Wives",,1962,183,,,,,,aflcio_rg9_003,,,,54,16,,,,,,,,Labor_Box3,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062542,aflcio_rg9_003_Box54_Folder24,Text,,"National Advisory Council on Minority Business Enterprise, 1970-1971",,,,,,,"Reports, memoranda, clippings, Presidential communications; Andrew Brimmer, Corporate Deposits in Black Banks, Minority Bank Deposit Program, Carl Rowan, Howard University",,1970-1971,245,,,,,,aflcio_rg9_003,,,,54,24,,,,,,,,Labor_Box3,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062543,aflcio_rg9_003_Box56_Folder2,Text,,"National Newspaper Publishers Association 39th Annual Convention, June 1979",,,,,,,"AFL-CIO policy towards Rhodesia and apartheid South Africa, Kenneth Young",,1979,17,,,,,,aflcio_rg9_003,,,,56,2,,,,,,,,Labor_Box3,2,yes,,,,18pp,,08292018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062544,aflcio_rg9_003_Box56_Folder3,Text,,"National Organization for Women, 1966-1975",,,,,,,"Wilma Scott Heide, National Organization for Women, The Young People's Socialist League, United States Youth Council, Women's Rights Amendment Proposal",,1966-1975,63,,,,,,aflcio_rg9_003,,,,56,3,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062545,aflcio_rg9_003_Box56_Folder4,Text,,"National Organization of Industrial Trade Unions, 1964",,,,,,,"Negro Trade Union Leadership Council, Jewish Labor Committee, Congress on Racial Equality (CORE), AFL-CIO resistance to Black labor organizing, Joe Louis, James Farmer",,1964,44,,,,,,aflcio_rg9_003,,,,56,4,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062546,aflcio_rg9_003_Box56_Folder7,Text,,"National Purposes Act of 1968, 1967",,,,,,,"Leon H. Keyserling, Don Slaiman, Freedom Budget, Leon Keyserling, National Purposes Act of 1967",,1967-1968,26,,,,,,aflcio_rg9_003,,,,56,7,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062547,aflcio_rg9_003_Box56_Folder8,Text,,"National Sharecroppers Fund, 1955-1972",,,,,,,"Benjamin E. Mays, Rural Advancement Fund of the National Sharecroppers Fund, Inc., National Advisory Committee on Farm Labor, Fay Bennett, League of Industrial Democracy, Reports on the Condition of Black and Mexican Farm workers (1956-60)",,1955-1972,275,,,,,,aflcio_rg9_003,,,,56,8,,,,,,,,Labor_Box3,2,yes,,,,242pp,,08292018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062548,aflcio_rg9_003_Box56_Folder9,Text,,"National Social Welfare Assembly, Inc., 1967",,,,,,,"Mildred F. H. Jones, National Social Welfare Assembly, Inc.",,1967,7,,,,,,aflcio_rg9_003,,,,56,9,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062549,aflcio_rg9_003_Box56_Folder11,Text,,"National Student Association, 1965",,,,,,,"Joseph F. Smith, Fort Valley State College, University of Louisville, Southern Student Human Relations Seminar",,1965,11,,,,,,aflcio_rg9_003,,,,56,11,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062550,aflcio_rg9_003_Box56_Folder12,Text,,"National Task Force on Black Voter Participation Meeting, September 1980",,,,,,,"Democratic National Committee, Black trade unionists, Voting rights, 1976 and 1980 Presidential Elections",,1980,55,,,,,,aflcio_rg9_003,,,,56,12,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062551,aflcio_rg9_003_Box56_Folder13,Text,,"National Urban Coalition, 1965-1968",,,,,,,"A. Philip Randolph, 1967 riots, Conference on Planning for the Quality of Urban Life, Speches from Gunnar Myrdal, U.S. Conference of Mayors, John Rockefeller, Martin Luther King, Jr.",,1965-1968,332,,,,,,aflcio_rg9_003,,,,56,13,,,,,,,,Labor_Box3,2,yes,,,,243pp,,08292018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062552,aflcio_rg9_003_Box56_Folder14,Text,,"National Urban Coalition, 1970-1975",,,,,,,"M. Carl Holman, Affirmative Action policies, United Steelworkers of America, Bricklayers, Masons and Plasterers International Union of America, Minority Contractors Assistance Project, Inc.,",,1970-1975,107,,,,,,aflcio_rg9_003,,,,56,14,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062553,aflcio_rg9_003_Box56_Folder24,Text,,"Negro American Labor Council, 1956 - 1966",,,,,,,"Negro Trade Union Leadership Council of Philadelphia and Delaware Valley, Brotherhood of Sleeping Car Porters, National Catholic Conference for Interracial Justice.",,1956-1966,348,,,,,,aflcio_rg9_003,,,,56,24,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062554,aflcio_rg9_003_Box56_Folder25,Text,,"Negro American Labor Council, 1960 - 1971",,,,,,,"National Afro-American Labor Council, A. Phillip Randolph, Adam Clayton Powell.",,1960-1971,143,,,,,,aflcio_rg9_003,,,,56,25,,,,,,,,Labor_Box3,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062555,aflcio_rg9_003_Box56_Folder26,Text,,"Negro Press, 1958-1965",,,,,,,"National Alliance of Postal Employees, National Negro Publishers Association, National Newspaper Publishers Association, 1958 Summit Meeting of National Negro Leaders, Langston Hughes, Jackie Robinson",,1958-1965,56,,,,,,aflcio_rg9_003,,,,56,26,,,,,,,,Labor_Box3,3,yes,,,,58pp,,08292018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062556,aflcio_rg9_003_Box56_Folder27,Text,,"New York Building Trades, 1963-1975",,,,,,,"Building Industry of New York City Referral Committee, discrimination on construction sites, International Brotherhood of Electrical Workers, affirmative action, Workers Defense League, Building Trade Employers' Association, statistics of Union Membership in NYC by trade and race, Building and Construction Trades Council, Affirmative Action council of Buffalo-Western New York,",,1963-1975,208,,,,,,aflcio_rg9_003,,,,56,27,,,,,,,,Labor_Box4,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062557,aflcio_rg9_003_Box56_Folder28,Text,,"New York Building Trades, 1963-1975",,,,,,,"Affirmative action policies in the New York City construction industry, Board of Urban Affairs, African American labor union particiption in Newark, Pittsburgh, Philadelphia, Chicago, Buffalo, Albany, Columbus, Rockford, Akron, Syracuse, Washington, Los Angeles, Tulsa, Fresno, San Francisco, Portland, Fort Worth, Kansas City, St. Louis, Boston, Denver, George Daly, National Urban League.",,1963-1975,173,,,,,,aflcio_rg9_003,,,,56,28,,,,,,,,Labor_Box4,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062558,aflcio_rg9_003_Box56_Folder29,Text,,"New York Teachers' Strike, 1968-1970",,,,,,,"New York Civil Liberties Union, Martin Luther King, Jr., United Federation of Teachers, Ad Hoc Committee to Defend the Right to Teach, American Federation of Teachers, Ocean Hill-Brownsville school controversy, Eldridge Cleaver, Spartacist League, Floyd McKissack, H. Rap Brown, Students for a Democratic Society, Herbert Hill, Dr. Kenneth Clark.",,1968-1970,291,,,,,,aflcio_rg9_003,,,,56,29,,,,,,,,Labor_Box4,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062559,aflcio_rg13_006_Box4_Folder4,Text,,Congressional correspondence 1968-1970,,,,,,,"Anne Draper: Textile industry & RIght to Work (RTW), RTW misinformation (Virginia), impacts of RTW on (primarily) Southern/border states, correspondence w/ Congressmembers/staff, correspndence with researchers, clippings",,1968-1970,188,,,,,,aflcio_rg13_006,,,,4,4,,,,,,,,Labor_Box4,1,yes,mdu-062663a,labor-062559,yes,199pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062560,aflcio_rg13_006_Box4_Folder18,Text,,"Louisiana: Right-to-Work, 1978-1992",,,,,,,"Anne Draper: ""Fair Share"" amendment to LA RTW, supporting research, correspondence, notes",,1978-1992,70,,,,,,aflcio_rg13_006,,,,4,18,,,,,,,,Labor_Box4,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062561,aflcio_rg13_006_Box4_Folder19,Text,,"Missouri: Right-to-Work, 1978-1995",,,,,,,"Anne Draper: correspondence, clippings, notes, supporting research (1978 defeat of Missouri RTW amendment)",,1995,72,,,,,,aflcio_rg13_006,,,,4,19,,,,,,,,Labor_Box4,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062562,aflcio_rg13_006_Box5_Folder4,Text,,"West Virginia RTW, 1983-1987",,,,,,,"Pamphlets, publications, correspondence, notes,clippings",,1987,85,,,,,,aflcio_rg13_006,,,,5,4,,,,,,,,Labor_Box4,Labor_Box1,yes,mdu-062703a,labor-062562,yes,Did not scan post-it not on fliers. 78pp,,08282017CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062563,aflcio_rg13_006_Box5_Folder5,Text,,"West Virginia: RTW, printed material, 1959-1967",,,,,,,"Anne Draper: Pamphlets, publications, correspondence (including Congressional), clippings, research articles and papers, committee testimony, television transcripts (RTW in Indiana & Arkansas, repeal of Taft-Hartley 14(b)) Bayard Rustin (1967),ClarenceMitchell (1965),referencing support from MLK, LBJ,A Philip Randolph for 14(b) repeal",,1959-1967,245,,,,,,aflcio_rg13_006,,,,5,5,,,,,,,,Labor_Box4,1,yes,mdu-062704a,labor-062563,yes,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062564,aflcio_rg13_006_Box5_Folder7,Text,,"National Right-to-Work Committee, 1969-1980",,,,,,,"Correspondence (including exchanges with other researchers), pamphlets, leaflets, clippings, research",,1969-1980,117,,,,,,aflcio_rg13_006,,,,5,7,,,,,,,,Labor_Box4,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062565,aflcio_rg13_006_Box5_Folder8,Text,,"Right-to-Work Publications, 1961-1989",,,,,,,"Reports, leaflets,articles, clippings",,1961-1989,289,,,,,,aflcio_rg13_006,,,,5,8,,,,,,,,Labor_Box4,1,yes,,,,,,,,,,
,mdu-062614,,Text,,"Bearden, Romare - Correspondence, 1964-1988",,,,,,,Correspondence between David C. Driskell and Romare Bearden.,1964-1988,1964-1988,28,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,3,5,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08222017 Returned to Driskell for exhibit display 08232017 by CSP,,,,
,mdu-062615,,Text,,"Bearden, Romare - Oral History Interview with David C. Driskell, 2001-2002",,,,,,,"Transcript of an oral history interview conducted on November 30, 2001 of Romare Bearden by David C. Driskell and letter from Driskell with corrections.",2001-2002,2001-2002,22,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,3,10,,,,,,,,Driskell_Box5 ,5,yes,mdu-062692a,mdu-062615,yes,,,,,,,
,mdu-062616,,Text,,"Clark, Claude - Correspondence, 1967-1969",,,,,,,Correspondence between David C. Driskell and Claude Clark,1967-1969,1967-1969,55,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,7,11,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062617,,Text,,"Clark, Claude - Correspondence, 1970-1979",,,,,,,Correspondence between David C. Driskell and Claude Clark,1970-1979,1970-1979,73,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,7,12,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062618,,Text,,"Clark, Claude - Correspondence, 1981-1989",,,,,,,Correspondence between David C. Driskell and Claude Clark,1981-1989,1981-1989,54,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,7,13,,,,,,,,Driskell_Box5 ,5,yes,,,,"65pp, 54 listed.multiple pages not straight, small cropping errors (p53 example)",,CSP08222017,,,,
,mdu-062619,,Text,,"Clark, Claude - Correspondence, 1990-1998, [undated]",,,,,,,Correspondence between David C. Driskell and Claude Clark,"1990-1998, and undated materials",1990-1998,46,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,7,14,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062620,,Text,,"Lawrence, Jacob - Correspondence, 1968-1998",,,,,,,Correspondence between David C. Driskell and Jacob Lawrence,1968-1998,1968-1998,50,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,24,16,,,,,,,,Driskell_Box5 ,5,yes,,,,"50pp listed, 53 scanned. Semi-translucent pages (not onionskin) were not backed and black scanner table bleeds through",,CSP08222017 Returned to Driskell for exhibit display 08232017 by CSP,,,,
,mdu-062621,,Text,,"Moss, Carlton - Correspondence, 1967-1980",,,,,,,Correspondence between David C. Driskell and Carlton Moss. ,1967-1980,1967-1980,94,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,30,6,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062622,,Text,,"O'Keeffe, Georgia, 1968-1981",,,,,,,Correspondence between David C. Driskell and Georgia O'Keeffe,1968-1981,1968-1981,8,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,31,3,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062623,,Text,,"Williams, Walter - Correspondence, 1968",,,,,,,Correspondence between David C. Driskell and Walter Williams. ,1968,1968,21,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,45,22,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062624,,Text,,"Williams, Walter - Correspondence, 1969",,,,,,,Correspondence between David C. Driskell and Walter Williams. ,1969,1969,14,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,45,23,,,,,,,,Driskell_Box5 ,5,yes,,,,"16pp, 14 listed. Some scanner table bleed through",,CSP08222017,,,,
,mdu-062625,,Text,,"Williams, Walter - Correspondence, 1971",,,,,,,Correspondence between David C. Driskell and Walter Williams. ,1971,1971,9,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,45,25,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062626,,Text,,"Williams, Walter - Correspondence, 1977",,,,,,,Correspondence between David C. Driskell and Walter Williams. ,1977,1977,9,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,46,2,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062627,,Text,,"Williams, Walter - Correspondence, 1978",,,,,,,Correspondence between David C. Driskell and Walter Williams. ,1978,1978,15,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,46,3,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062628,,Text,,"Williams, Walter - Correspondence, 1981",,,,,,,Correspondence between David C. Driskell and Walter Williams. ,1981,1981,3,,,,,,David C. Driskell Papers,MS2011.01,Series 5: Artists and Individuals,,46,5,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08222017,,,,
,mdu-062629,,Text,,"Journal Entry - Fisk University Fine Arts Festival, 1966",,,,,,,Personal journal entry written by David C. Driskell about the first time he met Aaron Douglas,1966,1966,11,,,,,,David C. Driskell Papers,MS2011.01,Series 1: Personal,Subseries 3: Writings ,2,27,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062630,,Text,,"Art 297 - Seminar in Afro-American Art, [undated]",,,,,,,"Syllabus for course led by David C. Driskell, likely at the University of Maryland",[undated],[undated],4,,,,,,David C. Driskell Papers,MS2011.01,Series 2: Educator,Subseries 2: University of Maryland,1,2,,,,,,,,Driskell_Box5 ,5,yes,mdu-062630a,mdu-062630,yes,,,,,,,
,mdu-062631,,Text,,"Black Shows Are Still Tolerated in 1987 and not Always Accepted as American Art, [undated]",,,,,,,Paper/article written by David C. Driskell of same title.,[undated],[undated],7,,,,,,David C. Driskell Papers,MS2011.01,Series 1: Personal,Subseries 3: Writings ,1,26,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062632,,Text,,"Two Centuries - Agendas and Reports, 1974-1975",,,,,,,Agendas and reports from planning of Two Centuries exhibition at LACMA,1974-1975,1974-1975,5,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,8,11,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08222017,,,,
,mdu-062633,,Text,,"Two Centuries - Brooklyn Museum Correspondence, 1977",,,,,,,Correspondence between Brooklyn Museum and LACMA/David C. Driskell on potential of hosting Two Centuries at the museum,1977,1977,21,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,8,12,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
"Just as a note: these letters and such were originally in accordion files that had pre-printed letters on each tab for the user to be organized. Driskell organized these letters alphabetically, typically by the name of the institution, or if it was an individual, by the last name of that individual. The letters between Driskell/LACMA and an institution or individual are paperclipped together so that original order could be replicated.",mdu-062634,,Text,,"Two Centuries - Correspondence with Lenders A-B, 1974-1976",,,,,,,Correspondence between LACMA representatives/David C. Driskell and various potential lenders for the Two Centuries exhibition,1974-1976,1974-1976,39,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,8,16,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
"Just as a note: these letters and such were originally in accordion files that had pre-printed letters on each tab for the user to be organized. Driskell organized these letters alphabetically, typically by the name of the institution, or if it was an individual, by the last name of that individual. The letters between Driskell/LACMA and an institution or individual are paperclipped together so that original order could be replicated.",mdu-062635,,Text,,"Two Centuries - Correspondence with Lenders C-F, 1974-1976",,,,,,,Correspondence between LACMA representatives/David C. Driskell and various potential lenders for the Two Centuries exhibition,1974-1976,1974-1976,74,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,1,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
"Just as a note: these letters and such were originally in accordion files that had pre-printed letters on each tab for the user to be organized. Driskell organized these letters alphabetically, typically by the name of the institution, or if it was an individual, by the last name of that individual. The letters between Driskell/LACMA and an institution or individual are paperclipped together so that original order could be replicated.",mdu-062636,,Text,,"Two Centuries - Correspondence with Lenders G-L, 1974-1976",,,,,,,Correspondence between LACMA representatives/David C. Driskell and various potential lenders for the Two Centuries exhibition,1974-1976,1974-1976,47,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,2,,,,,,,,Driskell_Box5 ,5,yes,,,,1st pp is archive's notice of alternate housing. Scanner bleed through multiple pp,,CSP08222017,,,,
"Just as a note: these letters and such were originally in accordion files that had pre-printed letters on each tab for the user to be organized. Driskell organized these letters alphabetically, typically by the name of the institution, or if it was an individual, by the last name of that individual. The letters between Driskell/LACMA and an institution or individual are paperclipped together so that original order could be replicated.",mdu-062637,,Text,,"Two Centuries - Correspondence with Lenders M, 1974-1976",,,,,,,Correspondence between LACMA representatives/David C. Driskell and various potential lenders for the Two Centuries exhibition,1974-1976,1974-1976,61,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,3,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
"Just as a note: these letters and such were originally in accordion files that had pre-printed letters on each tab for the user to be organized. Driskell organized these letters alphabetically, typically by the name of the institution, or if it was an individual, by the last name of that individual. The letters between Driskell/LACMA and an institution or individual are paperclipped together so that original order could be replicated.",mdu-062638,,Text,,"Two Centuries - Correspondence with Lenders N-O, 1974-1976",,,,,,,Correspondence between LACMA representatives/David C. Driskell and various potential lenders for the Two Centuries exhibition,1974-1976,1974-1976,59,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,4,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
"Just as a note: these letters and such were originally in accordion files that had pre-printed letters on each tab for the user to be organized. Driskell organized these letters alphabetically, typically by the name of the institution, or if it was an individual, by the last name of that individual. The letters between Driskell/LACMA and an institution or individual are paperclipped together so that original order could be replicated.",mdu-062639,,Text,,"Two Centuries - Correspondence with Lenders P-S, 1974-1976",,,,,,,Correspondence between LACMA representatives/David C. Driskell and various potential lenders for the Two Centuries exhibition,1974-1976,1974-1976,54,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,5,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
"Just as a note: these letters and such were originally in accordion files that had pre-printed letters on each tab for the user to be organized. Driskell organized these letters alphabetically, typically by the name of the institution, or if it was an individual, by the last name of that individual. The letters between Driskell/LACMA and an institution or individual are paperclipped together so that original order could be replicated.",mdu-062640,,Text,,"Two Centuries - Correspondence with Lenders T-Z, 1974-1976",,,,,,,Correspondence between LACMA representatives/David C. Driskell and various potential lenders for the Two Centuries exhibition,1974-1976,1974-1976,69,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,6,,,,,,,,Driskell_Box5 ,5,yes,,,,"71pp, 69 listed. 1st page notice of alternate housing. ",,CSP08222017,,,,
,mdu-062641,,Text,,"Two Centuries - Correspondence with Los Angeles County Museum of Art, 1974",,,,,,,Correspondence between LACMA and David C. Driskell regarding Two Centuries exhibition,1974,1974,39,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,7,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062642,,Text,,"Two Centuries - Correspondence with Los Angeles County Museum of Art, 1975",,,,,,,Correspondence between LACMA and David C. Driskell regarding Two Centuries exhibition,1975,1975,98,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,8,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062643,,Text,,"Two Centuries - Correspondence with Los Angeles County Museum of Art, 1976-1977",,,,,,,Correspondence between LACMA and David C. Driskell regarding Two Centuries exhibition,1976-1977,1976-1977,33,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,9,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062644,,Text,,"Two Centuries - Correspondence with Los Angeles County Museum of Art, 2011",,,,,,,Correspondence between LACMA and David C. Driskell regarding the 35th anniversary of the Two Centuries exhibition,2011,2011,5,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,10,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08222017,,,,
,mdu-062645,,Text,,"Two Centuries - Essay Outline of Exhibition, [undated]",,,,,,,Notes by David C. Driskell of how to organize exhibition,[undated],[undated],17,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,9,14,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062646,,Text,,"Two Centuries - Exhibition Floor Plan, 1976",,,,,,,Photographs and floor plans for the exhibition's display,1976,1976,12,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,11,1,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062647,,Text,,"Two Centuries - Exhibition Proposal, 1974",,,,,,,"Typed document called ""A Proposal for an Exhibition of Works by Black American artists"" by David Driskell",1974,1974,12,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,11,2,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062648,,Text,,"Two Centuries - Writings by David C. Driskell, ca. 1976",,,,,,,Two essays by David C. Driskell,circa 1976,circa 1976,16,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,13,4,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08232017,,,,
,mdu-062649,,Text,,"Amistad II - Advisory Board, 1974-1975",,,,,,,Letters to potential board members for the Amistad II exhibition and the nominees' responses,1974-1975,1974-1975,27,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,1,1,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062650,,Text,,"Amistad II - Art Caravan Correspondence, 1973-1974",,,,,,,Correspondence regarding the caravan idea behind the Amistad II exhibition,1973-1974,1973-1974,31,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,1,2,,,,,,,,Driskell_Box5 ,5,yes,mdu-062630b,mdu-062650,yes,,,,,,,
,mdu-062651,,Text,,"Amistad II - Art Caravan Meeting Notes, 1973-1975",,,,,,,Notes on meetings for the Amistad II exhibition caravan,1973-1975,1973-1975,15,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,1,3,,,,,,,,Driskell_Box5 ,5,yes,mdu-062651a,mdu-062651,yes,,,CSP08242017,,,,
,mdu-062652,,Text,,"Amistad II - Art Caravan Meeting Transcripts, 1973-1974",,,,,,,Transcripts of meetings regarding the Amistad II caravan idea,1973-1974,1973-1974,49,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,1,4,,,,,,,,Driskell_Box5 ,5,yes,mdu-062652a,mdu-062652,yes,,,CSP08232017,,,,
,mdu-062653,,Text,,"Amistad II - Art Caravan Proposals, [undated]",,,,,,,Research and preparations for Amistad II caravan idea,[undated],[undated],13,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,1,5,,,,,,,,Driskell_Box5 ,5,yes,mdu-062671a,mdu-062653,yes,,,CSP08232017,,,,
